x,y,class
0.0,0.0,0
0.011989749584362334,0.0009075447778655163,0
0.023774099442790332,0.003619824051318958,0
0.03514960322565265,0.008105861253137631,0
0.04591670573307251,0.014314323474589694,0
0.05588164959712827,0.022173961166026865,0
0.064858335612509,0.03159421902625326,0
0.07267012179549968,0.0424660134293894,0
0.07915154670102915,0.05466267046610379,0
0.08414996308392514,0.06804101744651826,0
0.08752706864959836,0.08244261953360815,0
0.08916032139652315,0.09769515205696737,0
0.08894422790280274,0.113613898005434,0
0.086791493845864,0.13000335922085596,0
0.08263402706136432,0.1466589689212803,0
0.07642378453759341,0.16336889237657742,0
0.06813345589737467,0.17991590184884912,0
0.057756977132605435,0.1960793112991602,0
0.04530986961860784,0.2116369558557253,0
0.030829400737509876,0.22636720064051405,0
0.014374563772776287,0.24005096326438993,0
-0.00397412390864344,0.25247373412768953,0
-0.02411500400386163,0.2634275786051165,0
-0.045925840000177014,0.2727131052516891,0
-0.06926455636774886,0.2801413843401907,0
-0.09397014976306675,0.2855358013292276,0
-0.11986376647052364,0.28873383026294996,0
-0.14674993902866912,0.28958871261624164,0
-0.17441797375239793,0.28797102771951427,0
-0.20264347968133922,0.28377014162113373,0
-0.23119002836660701,0.276895522068235,0
-0.25981093286101326,0.2672779082028206,0
-0.28825113330952173,0.2548703245734842,0
-0.31624917565429256,0.23964893014713812,0
-0.34353926917875055,0.2216136941624481,0
-0.36985340792366567,0.2007888918894581,0
-0.39492354042060124,0.1772234146398032,0
-0.41848377170888873,0.15099088970021862,0
-0.4402725812354105,0.12218960722964842,0
-0.46003503998506506,0.0909422525577176,0
-0.47752501005619047,0.057395443740000496,0
-0.49250730988099606,0.021719075653541406,0
-0.5047598283969124,-0.015894526655478348,0
-0.514075571700648,-0.055231641241190274,0
-0.5202646260617066,-0.0960583636146118,0
-0.5231560216344373,-0.1381219952875437,0
-0.5225994817848147,-0.1811525982734062,0
-0.5184670436367096,-0.22486470603274145,0
-0.5106545362382982,-0.26895918012718323,0
-0.499082903647562,-0.31312520068856237,0
-0.48369936123094986,-0.3570423777279672,0
-0.4644783745548877,-0.4003829693109999,0
-0.4414224514189882,-0.4428141917175962,0
-0.41456273882494754,-0.48400060589452565,0
-0.38395941798811384,-0.5236065638022789,0
-0.34970189187091183,-0.5612986976610911,0
-0.31190876113967375,-0.5967484346181526,0
-0.27072758590941176,-0.6296345189938148,0
-0.22633443213494436,-0.6596455240220394,0
-0.1789332030214198,-0.6864823348820718,0
-0.12875475735242933,-0.7098605848259846,0
-0.07605581815915251,-0.729513026341188,0
-0.02111767666885555,-0.7451918195482631,0
0.03575530203486627,-0.7566707204216246,0
0.09423736374488761,-0.763747151931895,0
0.1539832309397592,-0.7662441418418426,0
0.21463013898277278,-0.7640121116389357,0
0.27580003071561005,-0.7569305019527343,0
